subject_id,rec_type,dice_before,dice_after,dice_delta,ed_before,ed_after,ed_improvement
sub-017,mial,0.22976931676309068,0.23764769519430687,0.007878378431216193,705.0,625.0,80.0
sub-020,mial,0.12252966085690184,0.12421250508061238,0.001682844223710539,670.0,439.0,231.0
sub-025,mial,0.1599792553772246,0.1658842162830174,0.005904960905792789,1379.0,615.0,764.0
sub-034,mial,0.9023912175727979,0.902604093252625,0.00021287567982708477,46.0,49.0,-3.0
sub-038,mial,0.878312069419941,0.8787272884238625,0.00041521900392149647,18.0,10.0,8.0
sub-039,mial,0.8926494280242773,0.8926536503836512,4.2223593739176835e-06,10.0,19.0,-9.0
sub-042,irtk,0.8656002503371356,0.866339024247939,0.0007387739108033475,42.0,57.0,-15.0
sub-043,irtk,0.8683922626893041,0.8691981474175433,0.0008058847282391701,11.0,9.0,2.0
sub-049,irtk,0.8654046179761394,0.8663658157836985,0.0009611978075590999,52.0,109.0,-57.0
sub-054,irtk,0.8787987740156449,0.8792192618216179,0.0004204878059730355,87.0,97.0,-10.0
sub-074,irtk,0.8518000567798609,0.8522551478650066,0.00045509108514563135,21.0,22.0,-1.0
sub-079,irtk,0.8890960833909343,0.8897899975253619,0.0006939141344276534,3.0,14.0,-11.0
