subject_id,split,rec_type,is_severe_failure,components_6_all,components_18_all,components_26_all,components_6_ge5vox,components_6_ge10vox,components_26_ge10vox,fraction_voxels_in_lt5vox_components_6,fraction_voxels_in_lt10vox_components_6,largest_component_fraction_6,largest_component_fraction_26
sub-001,train,mial,False,54,18,17,16,6,5,0.00010380115768820575,0.00024016738445506428,0.9995990425869691,0.9997333734969185
sub-002,train,mial,False,29,15,13,6,2,2,3.7589113401409196e-05,6.42971676603052e-05,0.999916908275639,0.9999485622658718
sub-003,val,mial,False,23,9,7,4,2,1,3.8591909849298595e-05,6.431984974883098e-05,0.9999035202253768,0.9999581920976632
sub-004,val,mial,False,492,159,147,77,42,31,0.00947569891123592,0.013319318502714067,0.9224530137115245,0.931552194785228
sub-005,train,mial,False,195,87,80,32,19,18,0.003663063033859021,0.004959722514871063,0.8919072240141336,0.8972397361297956
sub-006,train,mial,False,14,5,5,2,2,2,3.933794242892126e-05,3.933794242892126e-05,0.9999262413579457,0.9999582034361693
sub-007,train,mial,False,289,86,83,37,28,23,0.007368877329865626,0.008607344107994304,0.9497182488079757,0.9533098024645489
sub-008,train,mial,False,157,64,58,14,8,8,0.006191458961739959,0.007366248610890617,0.9587553579933322,0.960787426575647
sub-009,train,mial,False,46,13,9,3,2,2,7.629832117383652e-05,8.550673924654093e-05,0.9983385382820249,0.998405628185126
sub-010,val,mial,False,15,2,2,5,3,1,1.4108522757047207e-05,2.720929388859104e-05,0.9998780620533141,0.999995968993498
sub-011,train,mial,False,21,3,1,2,2,1,4.4574102139249495e-05,4.4574102139249495e-05,0.9999123888337264,1.0
sub-012,val,mial,False,31,12,12,4,2,1,4.5000778391842453e-05,5.959562543784541e-05,0.9998358079707325,0.9999671615941464
sub-013,train,mial,False,34,11,10,6,3,3,0.00010865770741484819,0.00015720689583424846,0.9997318235306357,0.999812738844668
sub-014,train,mial,False,28,6,5,4,4,1,3.7542620930815656e-05,3.7542620930815656e-05,0.9996567531800611,0.9999852511132058
sub-015,val,mial,False,121,41,35,12,8,7,0.016559587367659036,0.01891231562754502,0.582390733870238,0.5850149307754954
