model,class_name,severe_mial_mean_dice,other_mial_mean_dice,difference
baseline,Brainstem,0.4075530618375556,0.7480125444858413,-0.34045948264828574
baseline,Cerebellum,0.4367302462180405,0.9089552503777498,-0.4722250041597093
baseline,GM,0.43127653006115013,0.7648469143234394,-0.3335703842622893
baseline,Ventricles,0.8247872311585285,0.8438316105613701,-0.01904437940284165
baseline,WM,0.8527281722219016,0.9161773245307088,-0.06344915230880721
baseline,dGM,0.8113928828531977,0.8497532595699591,-0.0383603767167614
baseline,eCSF,0.18684421582520247,0.88384840875213,-0.6970041929269275
comparative,Brainstem,0.3905158468605405,0.7732976814598588,-0.38278183459931825
comparative,Cerebellum,0.5795435296673174,0.9018417675307774,-0.32229823786346
comparative,GM,0.439339923185824,0.7677584190788006,-0.3284184958929766
comparative,Ventricles,0.7703956793481931,0.8061441477609114,-0.03574846841271828
comparative,WM,0.8544729488310762,0.9115042525563156,-0.05703130372523946
comparative,dGM,0.8043316020423393,0.8431988039013705,-0.03886720185903114
comparative,eCSF,0.17075941099907235,0.8911175716723387,-0.7203581606732664
