model,class_id,class_name,mean_dice,median_dice,mean_hd95_mm,median_hd95_mm,mean_assd_mm,median_assd_mm
baseline,1,eCSF,0.7076293108273805,0.8749233040503678,3.7541802377007927,1.118033988749895,1.274935774719381,0.45755022672001217
baseline,2,GM,0.6908391927913614,0.7719804871804139,1.52121941936269,1.0077999830245972,0.5649805760964345,0.4446406830335394
baseline,3,WM,0.9009702831009796,0.9122214462120233,1.8190684353941684,1.4142135623730951,0.6486344075572484,0.5109210575589331
baseline,4,Ventricles,0.8412394144941112,0.8477487255535068,1.6179224010557807,1.4129833297741896,0.5966477679498158,0.5586368072878867
baseline,5,Cerebellum,0.784875254027527,0.8889960029489798,2.538022250994007,1.4142135623730951,1.1076325804413334,0.5678282901295961
baseline,6,dGM,0.8268010549275325,0.8304773278934466,2.641994119677907,2.499499749789785,0.9633703484560693,0.9202321272319258
baseline,7,Brainstem,0.7030104398149915,0.7934960825439535,4.046380402751606,3.6569531216347824,1.454197812407766,1.067944982388756
comparative,1,eCSF,0.7003226045475937,0.8669993656933686,3.807076973740172,1.118033988749895,1.426410468951044,0.4915320045776863
comparative,2,GM,0.6975784727879746,0.7756468032999666,1.4467379163201552,1.118033988749895,0.551477185066873,0.4591191111445352
comparative,3,WM,0.9010516568420673,0.9133491763279935,1.7085833878720582,1.4142135623730951,0.6213086411332566,0.5497814797565442
comparative,4,Ventricles,0.8220254123500602,0.8394389706308132,2.564782038306983,1.8451412339263282,0.7958841913190269,0.6847692201584021
comparative,5,Cerebellum,0.8083764451119069,0.8746614080598456,2.228602597151008,1.6951816013732885,1.105668740324427,0.7534985200854101
comparative,6,dGM,0.8284428353748879,0.8278707173650834,2.5911411104767357,2.3956439237389597,0.933790644178016,0.8758729919924897
comparative,7,Brainstem,0.7066996248700269,0.7971157269142467,4.039073224398393,3.0652587102337447,1.3146015049266022,0.9148101463312596
